n,effect_size,delay_yz,is_global,Recall,Recall_std,n_exp,lla_score_mean,lla_score_std,FPR,FPR_std,n_ctrl,batch_time_seconds
100,0.8,0,False,1.0,0.0,50,0.4567,0.0194,0.0,0.0,50,1321.73
100,0.82,0,False,1.0,0.0,50,0.457,0.0149,0.04,0.1979,50,1334.9
100,0.84,0,False,1.0,0.0,50,0.4523,0.016,0.04,0.1979,50,1529.74
100,0.86,0,False,1.0,0.0,50,0.4555,0.0173,0.04,0.1979,50,1431.84
100,0.88,0,False,1.0,0.0,50,0.458,0.0193,0.0,0.0,50,1189.57
100,0.9,0,False,1.0,0.0,50,0.4576,0.0179,0.02,0.1414,50,1512.49
100,0.92,0,False,1.0,0.0,50,0.4529,0.019,0.04,0.1979,50,1658.28
100,0.94,0,False,1.0,0.0,50,0.4558,0.0182,0.04,0.1979,50,1095.23
100,0.96,0,False,1.0,0.0,50,0.4584,0.0179,0.04,0.1979,50,995.5
100,0.98,0,False,1.0,0.0,50,0.459,0.0178,0.02,0.1414,50,993.14
100,1.0,0,False,1.0,0.0,50,0.4551,0.014,0.1,0.303,50,1001.68
