,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,effect_size,delay_yz,is_global,,,,,,
100,0.8,0,False,0.8979,0.0526,-5.08,3.6803,4.28,3.731
100,0.82,0,False,0.8979,0.0473,-4.74,3.6634,4.56,3.5695
100,0.84,0,False,0.9033,0.0493,-4.6,3.9693,4.14,3.3625
100,0.86,0,False,0.8892,0.0531,-5.36,3.6296,4.8,3.8386
100,0.88,0,False,0.8964,0.0536,-4.16,3.7327,5.4,3.5628
100,0.9,0,False,0.8984,0.0573,-4.56,3.8606,4.8,3.9071
100,0.92,0,False,0.8949,0.0533,-5.14,3.928,4.56,3.7261
100,0.94,0,False,0.8925,0.0504,-5.08,3.8057,4.8,3.6309
100,0.96,0,False,0.8871,0.0528,-5.48,3.6267,4.88,3.8473
100,0.98,0,False,0.886,0.057,-5.28,4.0459,5.34,3.4559
100,1.0,0,False,0.8965,0.0562,-4.68,3.5251,4.9,3.5928
