n,effect_size,delay_yz,is_global,Recall,Recall_std,n_exp,lla_score_mean,lla_score_std,FPR,FPR_std,n_ctrl,batch_time_seconds
100,0.8,0,False,1.0,0.0,50,0.6207,0.041,0.04,0.1979,50,1052.78
100,0.82,0,False,1.0,0.0,50,0.612,0.0391,0.02,0.1414,50,1031.86
100,0.84,0,False,1.0,0.0,50,0.623,0.0336,0.06,0.2399,50,1043.03
100,0.86,0,False,1.0,0.0,50,0.6063,0.0357,0.08,0.274,50,944.39
100,0.88,0,False,1.0,0.0,50,0.6143,0.0339,0.06,0.2399,50,844.1
100,0.9,0,False,1.0,0.0,50,0.6244,0.0399,0.04,0.1979,50,758.04
100,0.92,0,False,1.0,0.0,50,0.6232,0.0339,0.04,0.1979,50,719.98
100,0.94,0,False,1.0,0.0,50,0.6185,0.0418,0.04,0.1979,50,720.5
100,0.96,0,False,1.0,0.0,50,0.6165,0.0248,0.06,0.2399,50,782.01
100,0.98,0,False,1.0,0.0,50,0.6201,0.0301,0.08,0.274,50,731.35
100,1.0,0,False,1.0,0.0,50,0.6202,0.0351,0.0,0.0,50,757.59
