,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,effect_size,delay_yz,is_global,,,,,,
100,0.8,0,False,0.7815,0.1112,-8.84,7.6808,9.36,8.1635
100,0.82,0,False,0.7679,0.1015,-9.7,7.6432,9.66,6.5297
100,0.84,0,False,0.7712,0.1034,-8.88,7.6309,10.24,7.3528
100,0.86,0,False,0.7852,0.1103,-9.6,7.379,8.28,7.2366
100,0.88,0,False,0.7777,0.101,-9.98,7.3692,8.42,6.7856
100,0.9,0,False,0.7505,0.1063,-11.1,7.3046,10.4,7.354
100,0.92,0,False,0.7708,0.1042,-8.5,7.5977,10.6,7.3374
100,0.94,0,False,0.7551,0.1046,-10.66,7.339,10.18,6.986
100,0.96,0,False,0.7781,0.1123,-10.42,7.5622,8.18,6.9596
100,0.98,0,False,0.7836,0.1055,-7.94,7.3635,9.98,6.9708
100,1.0,0,False,0.7729,0.0989,-8.4,7.0276,10.48,6.1817
