n,effect_size,delay_yz,is_global,Recall,Recall_std,n_exp,lla_score_mean,lla_score_std,FPR,FPR_std,n_ctrl,batch_time_seconds
100,0.5,0,False,1.0,0.0,50,0.4533,0.0188,0.0,0.0,50,1092.41
100,0.6,0,False,1.0,0.0,50,0.4532,0.0229,0.08,0.274,50,1063.13
100,0.7,0,False,1.0,0.0,50,0.4574,0.0182,0.02,0.1414,50,1152.49
100,0.8,0,False,1.0,0.0,50,0.4544,0.0181,0.02,0.1414,50,1108.91
100,0.82,0,False,1.0,0.0,50,0.4531,0.0145,0.06,0.2399,50,1114.79
100,0.84,0,False,1.0,0.0,50,0.4532,0.0147,0.06,0.2399,50,1137.24
100,0.86,0,False,1.0,0.0,50,0.455,0.0157,0.04,0.1979,50,1092.26
100,0.88,0,False,1.0,0.0,50,0.4553,0.0161,0.06,0.2399,50,1090.85
100,0.9,0,False,1.0,0.0,50,0.4546,0.0175,0.04,0.1979,50,1120.66
100,0.92,0,False,1.0,0.0,50,0.456,0.0185,0.06,0.2399,50,1105.66
100,0.94,0,False,1.0,0.0,50,0.4585,0.0194,0.04,0.1979,50,1096.29
100,0.96,0,False,1.0,0.0,50,0.4549,0.0186,0.02,0.1414,50,1036.98
100,0.98,0,False,1.0,0.0,50,0.4528,0.0204,0.02,0.1414,50,1081.23
100,1.0,0,False,1.0,0.0,50,0.4538,0.0188,0.08,0.274,50,1049.46
