,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,effect_size,delay_yz,is_global,,,,,,
100,0.5,0,False,0.8886,0.0549,-5.3,3.8346,4.98,3.8038
100,0.6,0,False,0.8891,0.0541,-5.76,3.485,4.5,3.8874
100,0.7,0,False,0.8944,0.0553,-5.3,3.9032,4.44,3.7534
100,0.8,0,False,0.8959,0.0493,-4.7,3.6436,4.86,3.8757
100,0.82,0,False,0.8852,0.0457,-5.7,3.7648,4.9,4.062
100,0.84,0,False,0.903,0.0532,-4.66,3.905,4.2,3.9693
100,0.86,0,False,0.9038,0.0533,-4.4,3.4523,4.42,3.9902
100,0.88,0,False,0.8924,0.0485,-4.46,3.4535,5.36,3.624
100,0.9,0,False,0.8923,0.0479,-5.26,3.7515,4.56,3.8447
100,0.92,0,False,0.8906,0.0487,-5.6,3.7688,4.48,3.4121
100,0.94,0,False,0.892,0.0533,-4.76,3.6898,5.24,3.6843
100,0.96,0,False,0.8934,0.0585,-4.62,3.7844,5.26,3.8269
100,0.98,0,False,0.8977,0.0527,-4.18,3.6516,5.24,3.761
100,1.0,0,False,0.9124,0.0516,-3.98,3.3715,3.98,3.2419
