n,effect_size,delay_yz,is_global,Recall,Recall_std,n_exp,lla_score_mean,lla_score_std,FPR,FPR_std,n_ctrl,batch_time_seconds
100,0.5,0,False,1.0,0.0,50,0.6165,0.0342,0.04,0.1979,50,1033.05
100,0.6,0,False,1.0,0.0,50,0.6171,0.0455,0.02,0.1414,50,1039.44
100,0.7,0,False,1.0,0.0,50,0.627,0.0336,0.02,0.1414,50,1055.61
100,0.8,0,False,1.0,0.0,50,0.6192,0.0378,0.08,0.274,50,1140.28
100,0.82,0,False,1.0,0.0,50,0.6194,0.0349,0.02,0.1414,50,1147.37
100,0.84,0,False,1.0,0.0,50,0.6246,0.0391,0.08,0.274,50,1144.08
100,0.86,0,False,1.0,0.0,50,0.616,0.0343,0.04,0.1979,50,1150.26
100,0.88,0,False,1.0,0.0,50,0.6213,0.0391,0.06,0.2399,50,1123.83
100,0.9,0,False,1.0,0.0,50,0.6195,0.0318,0.04,0.1979,50,1176.02
100,0.92,0,False,1.0,0.0,50,0.6163,0.0358,0.04,0.1979,50,1166.8
100,0.94,0,False,1.0,0.0,50,0.6186,0.0352,0.06,0.2399,50,1139.7
100,0.96,0,False,1.0,0.0,50,0.6134,0.0335,0.02,0.1414,50,1101.86
100,0.98,0,False,1.0,0.0,50,0.6198,0.0349,0.12,0.3283,50,1052.97
100,1.0,0,False,1.0,0.0,50,0.6213,0.0301,0.08,0.274,50,1051.31
