,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,effect_size,delay_yz,is_global,,,,,,
100,0.5,0,False,0.7405,0.0951,-11.48,6.8668,10.72,7.1629
100,0.6,0,False,0.7244,0.0829,-12.86,6.0677,11.0,7.3512
100,0.7,0,False,0.7536,0.1039,-10.56,7.4098,10.44,7.2342
100,0.8,0,False,0.7776,0.1086,-9.08,7.5074,9.54,7.5976
100,0.82,0,False,0.7562,0.0954,-12.22,6.4438,8.26,6.904
100,0.84,0,False,0.7574,0.0974,-9.58,7.4808,10.9,6.843
100,0.86,0,False,0.7792,0.1137,-9.2,6.9869,9.38,7.2419
100,0.88,0,False,0.742,0.0954,-11.32,7.0781,10.78,6.4627
100,0.9,0,False,0.7676,0.1052,-8.58,7.5541,10.84,7.8801
100,0.92,0,False,0.7772,0.1087,-9.1,7.6565,9.48,7.9802
100,0.94,0,False,0.7677,0.1012,-9.9,7.4045,9.52,7.7202
100,0.96,0,False,0.7812,0.1088,-8.54,7.8901,9.64,7.0501
100,0.98,0,False,0.7699,0.0936,-9.52,5.929,9.5,7.6084
100,1.0,0,False,0.7685,0.0961,-9.36,6.9686,9.9,7.1692
