n,alpha,delay_yz,is_global,Recall,Recall_std,n_exp,lla_score_mean,lla_score_std,FPR,FPR_std,n_ctrl,batch_time_seconds
100,0.8,0,False,1.0,0.0,50,0.4532,0.064,0.08,0.274,50,1298.42
100,0.82,0,False,1.0,0.0,50,0.4501,0.0558,0.0,0.0,50,1334.66
100,0.84,0,False,1.0,0.0,50,0.4556,0.062,0.08,0.274,50,1285.16
100,0.86,0,False,1.0,0.0,50,0.4709,0.0545,0.0,0.0,50,1283.82
100,0.88,0,False,1.0,0.0,50,0.4742,0.0675,0.04,0.1979,50,785.68
100,0.9,0,False,1.0,0.0,50,0.4595,0.0442,0.04,0.1979,50,736.54
100,0.92,0,False,1.0,0.0,50,0.4771,0.0561,0.1,0.303,50,738.73
100,0.94,0,False,1.0,0.0,50,0.4662,0.0558,0.04,0.1979,50,742.61
100,0.96,0,False,1.0,0.0,50,0.4759,0.0553,0.08,0.274,50,732.1
100,0.98,0,False,1.0,0.0,50,0.4674,0.05,0.08,0.274,50,737.63
100,1.0,0,False,1.0,0.0,50,0.4799,0.0496,0.04,0.1979,50,735.96
