,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,alpha,delay_yz,is_global,,,,,,
100,0.8,0,False,0.896,0.0561,-4.76,3.5775,4.78,3.7812
100,0.82,0,False,0.8933,0.0546,-5.08,3.9062,4.72,3.6312
100,0.84,0,False,0.8911,0.0473,-5.12,3.4442,4.78,3.9501
100,0.86,0,False,0.8846,0.0487,-5.58,3.8337,5.12,3.9052
100,0.88,0,False,0.8828,0.0494,-5.96,3.9329,4.94,3.8248
100,0.9,0,False,0.8971,0.0513,-4.58,3.7801,4.8,3.8012
100,0.92,0,False,0.8866,0.0516,-5.1,3.6211,5.38,3.9117
100,0.94,0,False,0.9007,0.0529,-4.44,3.6036,4.64,3.7783
100,0.96,0,False,0.89,0.0546,-5.48,4.067,4.74,3.6579
100,0.98,0,False,0.8976,0.0524,-3.98,3.8518,5.44,3.465
100,1.0,0,False,0.879,0.0582,-5.44,3.85,5.96,3.6025
