mode,n,seed,P,LA,detected
global_assoc,40,1,0.001,0.9625,True
global_assoc,40,2,0.001,0.966,True
global_assoc,40,3,0.001,0.9467,True
global_assoc,40,4,0.001,0.9347,True
global_assoc,40,5,0.001,0.9476,True
global_assoc,40,6,0.001,0.9594,True
global_assoc,40,7,0.001,0.9946,True
global_assoc,40,8,0.001,0.9178,True
global_assoc,40,9,0.001,0.9504,True
global_assoc,40,10,0.001,0.9839,True
global_assoc,40,11,0.001,0.9766,True
global_assoc,40,12,0.001,0.9716,True
global_assoc,40,13,0.001,0.8835,True
global_assoc,40,14,0.001,0.9578,True
global_assoc,40,15,0.002,0.8666,True
global_assoc,40,16,0.001,0.924,True
global_assoc,40,17,0.001,0.9808,True
global_assoc,40,18,0.001,0.9049,True
global_assoc,40,19,0.001,0.9518,True
global_assoc,40,20,0.001,0.9946,True
global_assoc,40,21,0.001,0.9815,True
global_assoc,40,22,0.001,0.9503,True
global_assoc,40,23,0.001,0.9565,True
global_assoc,40,24,0.001,0.9537,True
global_assoc,40,25,0.001,1.0183,True
global_assoc,40,26,0.001,0.993,True
global_assoc,40,27,0.001,0.9446,True
global_assoc,40,28,0.001,0.9123,True
global_assoc,40,29,0.001,0.9059,True
global_assoc,40,30,0.001,0.9469,True
global_assoc,40,31,0.002,0.9206,True
global_assoc,40,32,0.001,0.9832,True
global_assoc,40,33,0.001,0.9535,True
global_assoc,40,34,0.001,0.9938,True
global_assoc,40,35,0.001,0.9528,True
global_assoc,40,36,0.001,0.9828,True
global_assoc,40,37,0.001,0.9779,True
global_assoc,40,38,0.001,0.9166,True
global_assoc,40,39,0.001,0.9933,True
global_assoc,40,40,0.001,0.9643,True
global_assoc,40,41,0.001,0.9639,True
global_assoc,40,42,0.001,0.952,True
global_assoc,40,43,0.001,0.9748,True
global_assoc,40,44,0.001,1.0458,True
global_assoc,40,45,0.001,0.9497,True
global_assoc,40,46,0.001,0.9067,True
global_assoc,40,47,0.001,0.9502,True
global_assoc,40,48,0.001,0.8924,True
global_assoc,40,49,0.001,0.8632,True
global_assoc,40,50,0.001,0.9175,True
null,40,1,0.006,0.3608,True
null,40,2,0.0909,-0.3549,False
null,40,3,0.9131,0.1335,False
null,40,4,0.029,0.3671,True
null,40,5,0.7712,-0.1711,False
null,40,6,0.8022,0.1288,False
null,40,7,0.2478,-0.2845,False
null,40,8,0.6683,0.1641,False
null,40,9,0.2877,-0.277,False
null,40,10,0.9191,0.1331,False
null,40,11,0.2837,0.2194,False
null,40,12,0.0649,0.3204,False
null,40,13,0.0909,-0.355,False
null,40,14,0.1169,-0.3049,False
null,40,15,0.3307,-0.2505,False
null,40,16,0.022,0.3579,True
null,40,17,0.7992,-0.1594,False
null,40,18,0.8432,0.1735,False
null,40,19,0.1059,-0.3167,False
null,40,20,0.8052,-0.1604,False
null,40,21,0.019,-0.4041,True
null,40,22,0.2328,0.2514,False
null,40,23,0.5954,-0.2153,False
null,40,24,0.7792,-0.1608,False
null,40,25,0.5624,-0.2154,False
null,40,26,0.9391,-0.1705,False
null,40,27,0.4426,0.2357,False
null,40,28,0.8581,0.1208,False
null,40,29,0.8531,-0.1726,False
null,40,30,0.7083,0.1678,False
null,40,31,0.8432,0.1433,False
null,40,32,0.4815,0.192,False
null,40,33,0.9391,-0.1207,False
null,40,34,0.4915,0.1686,False
null,40,35,0.989,-0.0997,False
null,40,36,0.6873,-0.2198,False
null,40,37,0.4396,-0.2388,False
null,40,38,0.8531,0.138,False
null,40,39,0.2138,0.2464,False
null,40,40,0.1399,-0.2622,False
null,40,41,0.0899,-0.4387,False
null,40,42,0.4306,0.2461,False
null,40,43,0.3776,0.2018,False
null,40,44,0.2478,0.2606,False
null,40,45,0.7183,0.1374,False
null,40,46,0.5574,0.214,False
null,40,47,0.4925,0.1968,False
null,40,48,0.952,0.1517,False
null,40,49,0.3816,-0.2169,False
null,40,50,0.5684,0.1922,False
