n,seed,corr_start0,corr_end0,s_true,e_true,s_pred,e_pred,J,Coverage,L_int,L_union,MAE_start,MAE_end,P,LA,power_hit
40,1,17,22,18,23,3,13,0.0,0.0,0,17,15,10,0.423,0.21559083,False
40,2,17,22,18,23,10,23,0.42857142857142855,1.0,6,14,8,0,0.093,0.36152643,False
40,3,17,22,18,23,24,39,0.0,0.0,0,22,6,16,0.805,-0.19239324,False
40,4,17,22,18,23,5,26,0.2727272727272727,1.0,6,22,13,3,0.579,0.22448373,False
40,5,17,22,18,23,14,37,0.25,1.0,6,24,4,14,0.19,0.27974586,False
40,6,17,22,18,23,16,28,0.46153846153846156,1.0,6,13,2,5,0.283,0.25001132,False
40,7,17,22,18,23,2,28,0.2222222222222222,1.0,6,27,16,5,0.014,0.44031055,True
40,8,17,22,18,23,14,40,0.2222222222222222,1.0,6,27,4,17,0.059,0.38735696,False
40,9,17,22,18,23,11,23,0.46153846153846156,1.0,6,13,7,0,0.374,0.21392473,False
40,10,17,22,18,23,2,25,0.25,1.0,6,24,16,2,0.609,0.19140656,False
40,11,17,22,18,23,18,40,0.2608695652173913,1.0,6,23,0,17,0.534,0.20761442,False
40,12,17,22,18,23,1,17,0.0,0.0,0,23,17,6,0.508,-0.19468998,False
40,13,17,22,18,23,18,34,0.35294117647058826,1.0,6,17,0,11,0.387,0.23362141,False
40,14,17,22,18,23,1,39,0.15384615384615385,1.0,6,39,17,16,0.171,0.31488969,False
40,15,17,22,18,23,7,39,0.18181818181818182,1.0,6,33,11,16,0.17,0.32471216,False
40,16,17,22,18,23,13,23,0.5454545454545454,1.0,6,11,5,0,0.689,0.19574556,False
40,17,17,22,18,23,16,30,0.4,1.0,6,15,2,7,0.232,0.24240283,False
40,18,17,22,18,23,18,31,0.42857142857142855,1.0,6,14,0,8,0.146,0.36557668,False
40,19,17,22,18,23,2,27,0.23076923076923078,1.0,6,26,16,4,0.058,0.35996666,False
40,20,17,22,18,23,3,30,0.21428571428571427,1.0,6,28,15,7,0.028,0.40804992,True
40,21,17,22,18,23,3,23,0.2857142857142857,1.0,6,21,15,0,0.455,0.24643533,False
40,22,17,22,18,23,3,34,0.1875,1.0,6,32,15,11,0.538,0.20082626,False
40,23,17,22,18,23,13,29,0.35294117647058826,1.0,6,17,5,6,0.186,0.34301455,False
40,24,17,22,18,23,4,36,0.18181818181818182,1.0,6,33,14,13,0.034,0.38945249,True
40,25,17,22,18,23,3,40,0.15789473684210525,1.0,6,38,15,17,0.262,0.27690122,False
40,26,17,22,18,23,6,17,0.0,0.0,0,18,12,6,0.272,-0.28897929,False
40,27,17,22,18,23,15,29,0.4,1.0,6,15,3,6,0.13,0.32549028,False
40,28,17,22,18,23,18,29,0.5,1.0,6,12,0,6,0.452,0.27218207,False
40,29,17,22,18,23,16,27,0.5,1.0,6,12,2,4,0.724,0.1956413,False
40,30,17,22,18,23,11,36,0.23076923076923078,1.0,6,26,7,13,0.103,0.31583028,False
40,31,17,22,18,23,2,24,0.2608695652173913,1.0,6,23,16,1,0.193,0.31243291,False
40,32,17,22,18,23,5,39,0.17142857142857143,1.0,6,35,13,16,0.048,0.41427191,True
40,33,17,22,18,23,12,33,0.2727272727272727,1.0,6,22,6,10,0.366,0.26471283,False
40,34,17,22,18,23,11,23,0.46153846153846156,1.0,6,13,7,0,0.248,0.23337337,False
40,35,17,22,18,23,8,31,0.25,1.0,6,24,10,8,0.199,0.28092302,False
40,36,17,22,18,23,4,37,0.17647058823529413,1.0,6,34,14,14,0.149,0.34029705,False
40,37,17,22,18,23,15,24,0.6,1.0,6,10,3,1,0.192,0.32099567,False
40,38,17,22,18,23,17,40,0.25,1.0,6,24,1,17,0.784,0.18859515,False
40,39,17,22,18,23,10,26,0.35294117647058826,1.0,6,17,8,3,0.377,0.2776644,False
40,40,17,22,18,23,16,37,0.2727272727272727,1.0,6,22,2,14,0.199,0.30426187,False
40,41,17,22,18,23,1,40,0.15,1.0,6,40,17,17,0.312,0.29764865,False
40,42,17,22,18,23,8,16,0.0,0.0,0,15,10,7,0.858,-0.18040796,False
40,43,17,22,18,23,1,31,0.1935483870967742,1.0,6,31,17,8,0.042,0.3204555,True
40,44,17,22,18,23,2,38,0.16216216216216217,1.0,6,37,16,15,0.012,0.41805168,True
40,45,17,22,18,23,15,36,0.2727272727272727,1.0,6,22,3,13,0.275,0.27994623,False
40,46,17,22,18,23,3,33,0.1935483870967742,1.0,6,31,15,10,0.1,0.36190166,False
40,47,17,22,18,23,9,23,0.4,1.0,6,15,9,0,0.209,0.29831401,False
40,48,17,22,18,23,17,35,0.3157894736842105,1.0,6,19,1,12,0.367,0.30173561,False
40,49,17,22,18,23,2,36,0.17142857142857143,1.0,6,35,16,13,0.049,0.41316665,True
